"auth.name","2013","2014","2015","2016","2017","change","change.4"
"Edinburgh City",24736,25894,27712,30234,32556,7.68009525699545,7.10885874651285
"Glasgow City",17868,18025,19530,20203,20086,-0.579121912587244,2.96849821304031
"Dundee City",3605,3876,4485,3751,5094,35.8037856571581,9.02809348809362
"Fife",2971,3302,2958,3467,3579,3.23045860974907,4.76464884641972
"Perth and Kinross",3019,2916,2856,2905,3225,11.0154905335628,1.66387320288233
"Stirling",2223,2019,1671,1620,2488,53.5802469135803,2.85554940735086
"South Lanarkshire",2161,2281,2462,2352,2275,-3.27380952380952,1.29351887662675
"Highland",1243,1353,1519,1815,2251,24.0220385674931,16.004835239536
"East Ayrshire",1242,1493,1528,1790,1746,-2.45810055865922,8.88816043949213
"Argyll and Bute",711,1005,1089,1089,1052,-3.39761248852158,10.2901010856443
"Renfrewshire",1063,1063,1066,1052,1021,-2.9467680608365,-1.00275257662433
"South Ayrshire",826,775,0,1187,886,-25.3580454928391,1.7685106125741
"Moray",655,670,681,690,676,-2.02898550724637,0.792066389866847
"East Lothian",0,0,0,84,458,445.238095238095,NA
"Aberdeenshire",697,635,416,488,443,-9.22131147540983,-10.7120736218695
"Falkirk",454,419,223,462,411,-11.038961038961,-2.45691380314322
"Inverclyde",0,157,328,385,396,2.85714285714285,NA
"East Dunbartonshire",0,54,53,184,323,75.5434782608696,NA
"East Renfrewshire",186,211,211,216,193,-10.6481481481482,0.927866113590099
"North Ayrshire",178,193,165,195,185,-5.12820512820513,0.968971289400969
"Scottish Borders",147,127,141,174,165,-5.17241379310345,2.9299240613706
"Orkney Islands",87,80,85,110,149,35.4545454545455,14.3975580282323
"Eilean Siar",30,38,37,36,47,30.5555555555556,11.8778600543723
"Shetland Islands",4,29,72,27,28,3.7037037037037,62.6576561697786
"Dumfries and Galloway",15,14,14,15,17,13.3333333333333,3.17854887740737
"Aberdeen City",0,0,0,0,0,NA,NA
"Angus",6,6,6,6,0,-100,-100
"Clackmannanshire",14,15,14,0,0,NA,-100
"Midlothian",0,0,0,0,0,NA,NA
"North Lanarkshire",0,0,0,0,0,NA,NA
"West Dunbartonshire",0,0,0,0,0,NA,NA
"West Lothian",0,0,0,0,0,NA,NA
"Total",64141,66650,69322,74537,79750,6.99384198451776,5.59630975342382
