"dpe.now","dpe.next","dpe.not"
"Aberdeen City (2003)","North Ayrshire","Aberdeenshire"
"Angus (2017)",NA,"Clackmannanshire"
"Argyll and Bute (2014)",NA,"Dumfries and Galloway"
"Dundee City (2004)",NA,"Eilean Siar"
"East Ayrshire (2012)",NA,"Moray"
"East Dunbartonshire (2014)",NA,"Orkney Islands"
"East Lothian (2017)",NA,"Scottish Borders"
"East Renfrewshire (2013)",NA,"Shetland Islands"
"Edinburgh City (1998)",NA,"West Dunbartonshire"
"Falkirk (2018)",NA,"West Lothian"
"Fife (2013)",NA,NA
"Glasgow City (1999)",NA,NA
"Highland (2016)",NA,NA
"Inverclyde (2014)",NA,NA
"Midlothian (2018)",NA,NA
"North Lanarkshire (2017)",NA,NA
"Perth and Kinross (2002)",NA,NA
"Renfrewshire (2010)",NA,NA
"South Ayrshire (2012)",NA,NA
"South Lanarkshire (2005)",NA,NA
"Stirling (2017)",NA,NA
