"auth.name","2013","2014","2015","2016","2017","change"
"Cardiff",6612.819,6900,7256.977,7598.742,8629.129,13.5599682157915
"Swansea",4618,5171,5446,5666,5931.514,4.68609248146841
"Carmarthenshire",2447.559,2815.358,3105.993,3091.909,3035.068,-1.83837881386547
"Gwynedd",2097,2027,2538,2490,2539,1.96787148594377
"Pembrokeshire",1360,1521,1783,1867,1916,2.62453133369041
"Conwy",1391.697,1419.135,1886.046,1935.267,1903.485,-1.64225401456234
"Powys",1196.459,1363,1602,1684,1652.771,-1.85445368171021
"Monmouthshire",1182.541,1250.408,1420.871,1522.203,1534.746,0.82400310602464
"Denbighshire",1300,1251,1300,1710.687,1516.686,-11.3405316109844
"Neath Port Talbot",1507.012,1494,1376.046,1374.55,1499.981,9.1252409879597
"Bridgend",1356.798,1267.642,1219.9,1127.487,1138.637,0.988924927737522
"Wrexham",154.977,1044.501,896.2518,974.097,1112.864,14.2457065364127
"Rhondda Cynon Taf",1384.112,1409.513,1291.035,1321.516,1089.778,-17.5357695253028
"Ceredigion",1122.81,1150.479,980.259,1108.664,1055.016,-4.83897736374591
"Vale of Glamorgan",955,788,686,764,737,-3.53403141361257
"Merthyr Tydfil",831.6895,744.608,689.98,607.813,725.231,19.3181126431978
"Caerphilly",702,721,702,675,641.423,-4.97437037037037
"Isle of Anglesey",388,456,523,605,639,5.61983471074381
"Newport",604.873,620.76,639.8984,642.502,591.316,-7.96666780803794
"Flintshire",296.4271,450.0001,438.855,598.6638,570.91,-4.63595761093289
"Blaenau Gwent",30,38.483,30,30,30.211,0.703333333333322
"Torfaen",9,12,5,15,4,-73.3333333333333
"Total",31548.7736,33914.8871,35817.1122,37410.1008,38493.766,2.8967182039777
